"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"702","Atrina","MT_60",2017,28290.5257269578,15486.0536967368,68302.832062297,550.653672207184,323.229486885095,872.111200562175,"MPA 2015",0.0210826471306472
"703","Atrina","MT_60",2018,30169.8730548159,15174.7872540038,85757.3444046904,555.187808172977,311.260782076122,1013.90240271973,"MPA 2015",0.0197387538924495
"704","Atrina","MT_60",2019,31815.3806512187,14874.8592783157,103038.925440635,556.462652421917,299.917032526528,1144.9388624538,"MPA 2015",0.0186042868525697
"705","Atrina","MT_60",2020,33218.4503572874,14585.6872605422,118267.70712056,554.673797755052,289.153539751613,1248.50725432694,"MPA 2015",0.017638000805203
"706","Atrina","MT_60",2021,34387.738447814,14306.7289370625,130146.112230421,550.237631990904,278.929821952914,1311.89071097422,"MPA 2015",0.016807170479844
"707","Atrina","MT_60",2022,35343.9862052886,14037.4786098186,138424.060181168,543.678497890519,269.209128956698,1331.89574462529,"MPA 2015",0.0160858133482837
"708","Atrina","MT_60",2023,36114.5772371824,13777.4638805643,143699.230364522,535.534897345901,259.958020740225,1315.35756216761,"MPA 2015",0.0154532838142502
"709","Atrina","MT_60",2024,36728.9724084848,13526.242745915,146868.258833305,526.296834251785,251.146000392541,1274.32063608152,"MPA 2015",0.0148931611970292
"710","Atrina","MT_60",2025,37215.516576611,13283.4010073821,148718.735910673,516.374052647863,242.74519377736,1220.36091079631,"MPA 2015",0.014392370114209
"711","Atrina","MT_60",2026,37599.5944788264,13048.5499569865,149798.401504447,506.087785337853,234.730069350989,1161.71458929492,"MPA 2015",0.0139404846811993
"712","Atrina","MT_60",2027,37902.8438122818,12821.3243044892,150443.65714225,495.67689241725,227.077192579603,1103.16811635448,"MPA 2015",0.0135291780886426
"713","Atrina","MT_60",2028,38143.0694938163,12601.3803169095,150847.666802704,485.310782459958,219.765010231089,1047.06644918256,"MPA 2015",0.0131517871507404
"714","Atrina","MT_60",2029,38334.5529484387,12388.3941449454,151117.529337182,475.104059738078,212.773660514837,994.327872344991,"MPA 2015",0.012802967776034
"715","Atrina","MT_60",2030,38488.5379675355,12182.0603142845,151311.673820521,465.130133050286,206.084805630552,945.135498694078,"MPA 2015",0.0124784223438425
"716","Atrina","MT_60",2031,38613.7575631553,11982.0903626783,151461.841864658,455.432616834261,199.68148378319,899.335125776405,"MPA 2015",0.0121746839495699
"717","Atrina","MT_60",2032,38716.9285473787,11788.2116061284,151585.355504933,446.034285899865,193.547978140433,856.642928263629,"MPA 2015",0.011888945629273
"718","Atrina","MT_60",2033,38803.1812766915,11600.1660196601,151691.786835574,436.94380131996,187.669700564496,816.746010181329,"MPA 2015",0.0116189251620713
"719","Atrina","MT_60",2034,38876.4157788418,11417.7092199908,151786.537856163,428.160595081846,182.033088251776,779.346941215569,"MPA 2015",0.0113627580160518
"720","Atrina","MT_60",2035,38939.5878206523,11240.7868938484,151872.751819651,419.678321131868,176.625511670507,744.18049420938,"MPA 2015",0.0111189125584512
"721","Callinectes","MT",2015,2635.5565579566,269.921929123316,0,727.438729851006,51.2038030892901,11227.1261893835,"MPA 2015",0.400871234869086
"722","Callinectes","MT",2016,3465.49980613833,432.860875336992,0,996.162241452832,80.2032211439277,0,"MPA 2015",0.382824025314705
"723","Callinectes","MT",2017,4065.82467923672,683.283591894226,0,1242.5891809249,124.681138099169,0,"MPA 2015",0.365666332375868
"724","Callinectes","MT",2018,4382.68892134765,1048.64964180991,0,1395.23145777631,190.790998954528,0,"MPA 2015",0.349350566770854
"725","Callinectes","MT",2019,4539.83568359438,1537.79917693947,0,1441.20902441162,283.857606209911,0,"MPA 2015",0.333831752238664
"726","Callinectes","MT",2020,4638.21693488156,2109.68288940651,0,1427.68558091262,403.556367487072,0,"MPA 2015",0.319067637708148
"727","Callinectes","MT",2021,4720.51143121925,2657.4703629752,0,1394.98164532789,536.783838939557,0,"MPA 2015",0.305018506576209
"728","Callinectes","MT",2022,4796.06405549359,3062.09972817377,0,1357.67512088217,655.683890706391,0,"MPA 2015",0.291646916776883
"729","Callinectes","MT",2023,4867.5210956613,3291.02217522658,0,1319.32422953182,732.750494334274,0,"MPA 2015",0.278917521606099
"730","Callinectes","MT",2024,4935.28908353442,3402.77807090072,0,1280.80637027697,763.861053141038,0,"MPA 2015",0.266796936805423
