,Name,Adjusted,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
87,Callinectes,MT_60,2009,3722.1408,3300.7072,4296.680715,2972.763382,5383.413849,0.838678711,0.580260328,1.05080058,0.419339356,0.290130164,0.52540029,0.866282846,0.691409003,1.252081085,0.595623108,0.478716277,0.741079642,1.454414435,1.160816283,2.102136514,1.454414435
88,Callinectes,MT_60,2010,2986.60544,3114.901547,3807.452649,2729.022044,4823.081459,0.743185191,0.532683912,0.941428049,0.371592596,0.266341956,0.470714024,0.784410396,0.619231806,1.094386704,0.595623108,0.478716277,0.741079642,1.316957628,1.039636973,1.837381204,1.316957628
89,Callinectes,MT_60,2011,2671.2864,3126.677547,3335.325039,2584.68165,4011.545479,0.651029548,0.504509787,0.783022527,0.325514774,0.252254894,0.391511263,0.800907368,0.665899568,1.033506931,0.595623108,0.478716277,0.741079642,1.344654627,1.117988134,1.735169299,1.344654627
90,Callinectes,MT_60,2012,1647.5424,2435.144747,2760.224046,2246.83597,3461.712739,0.5387743,0.438564934,0.675699446,0.26938715,0.219282467,0.337849723,0.596887199,0.475932732,0.73327222,0.595623108,0.478716277,0.741079642,1.0021223,0.799050146,1.231101027,1.0021223
91,Callinectes,MT_60,2013,2298.9504,2205.9264,2617.773133,1945.047268,3372.02047,0.510968988,0.379658123,0.658192211,0.255484494,0.189829062,0.329096106,0.878208417,0.681772374,1.181950916,0.595623108,0.478716277,0.741079642,1.474436443,1.144637211,1.984393989,1.474436443
92,Callinectes,MT_60,2014,1575.307104,1840.599968,2576.838447,1403.811231,3442.128306,0.502978855,0.274013051,0.671876716,0.251489428,0.137006526,0.335938358,0.611333282,0.457654963,1.122164483,0.595623108,0.478716277,0.741079642,1.026376031,0.768363344,1.884017707,1.026376031
93,Callinectes,MT_60,2015,1274.496,1716.251168,2866.750426,318.258464,4028.789084,0.559567422,0.062121581,0.786388345,0.279783711,0.03106079,0.393194172,0.444578638,0.316347164,4.004594204,0.595623108,0.478716277,0.741079642,0.746409318,0.531119695,6.723369439,0.746409318
94,Caranx,MT,2005,140.5705,140.5705,403.7457659,356.7666155,429.5002893,1.164909025,1.029362251,1.239217363,0.582454513,0.514681125,0.619608682,0.34816588,0.327288487,0.394012483,0.238258948,0.227575738,0.249443665,1.461291941,1.373667139,1.653715365,1.461291941
95,Caranx,MT,2006,171.151,155.86075,353.0562931,341.2599666,413.8276863,1.018657029,0.984621632,1.193997925,0.509328514,0.492310816,0.596998963,0.484769719,0.413580352,0.501526744,0.238258948,0.227575738,0.249443665,2.034633844,1.735843943,2.104964992,2.034633844
96,Caranx,MT,2007,61.7058,124.4757667,312.0805269,270.1955144,369.0274501,0.900431542,0.779582648,1.064737871,0.450215771,0.389791324,0.532368936,0.197723968,0.167211951,0.228374628,0.238258948,0.227575738,0.249443665,0.829870061,0.701807646,0.95851438,0.829870061
