"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"4788","Sphoeroides","MT_20",2021,231.806248496331,43.279937120103,287.364470461566,16.0596894077207,1.56248879482454,83.2049352542904,"No MPA",0.0876205167031171
"4789","Sphoeroides","MT_20",2022,281.681295428883,55.1287741725545,348.336166672079,19.994695723522,1.94120956522977,101.314951958538,"No MPA",0.0862560688213649
"4790","Sphoeroides","MT_20",2023,327.777843883524,69.2934147391114,409.20262540216,24.0610024818773,2.39233790015936,120.697921059552,"No MPA",0.0854192410796832
"4791","Sphoeroides","MT_20",2024,365.679333271079,85.6719257091124,464.73633847555,27.8788172833088,2.917355201847,139.983302535986,"No MPA",0.085054001676866
"4792","Sphoeroides","MT_20",2025,393.410867751883,103.852011580023,510.763679017747,31.1082562224694,3.51047971283063,157.607176851744,"No MPA",0.0850697684886904
"4793","Sphoeroides","MT_20",2026,411.679320802376,123.074570252085,545.483409332214,33.5828182067268,4.15620814453719,172.3070185984,"No MPA",0.0853632193707135
"4794","Sphoeroides","MT_20",2027,422.705761656496,142.299941994593,569.544528507478,35.3390629828891,4.8284814940913,183.523947305153,"No MPA",0.0858412390353056
"4795","Sphoeroides","MT_20",2028,428.885272024662,160.394914132807,585.064978495545,36.535873631594,5.49296186983298,191.442293497384,"No MPA",0.0864333466580098
"4796","Sphoeroides","MT_20",2029,432.090786585268,176.38883939424,594.485474491271,37.3526506238233,6.11297188144923,196.702452165896,"No MPA",0.0870924068982147
"4797","Sphoeroides","MT_20",2030,433.56538598637,189.687435089748,599.87877610155,37.9329706361891,6.65755355496598,200.052252922821,"No MPA",0.087789353103236
"4798","Sphoeroides","MT_20",2031,434.062795319062,200.145712841747,602.747778305793,38.3736210499618,7.10820425492328,202.131727776671,"No MPA",0.0885071140138667
"4799","Sphoeroides","MT_20",2032,434.017816415468,207.988215632883,604.087442363432,38.7339951360636,7.46114324897454,203.407523428293,"No MPA",0.0892359252020019
"4800","Sphoeroides","MT_20",2033,433.674614773402,213.648770707811,604.522261042419,39.0486981058258,7.72465940804622,204.189955281537,"No MPA",0.0899702653414718
"4801","Sphoeroides","MT_20",2034,433.168390838009,217.617476927329,604.432167668155,39.3373293553989,7.91382792597714,204.674584634666,"No MPA",0.0907070140039277
"4802","Sphoeroides","MT_20",2035,432.573499033437,220.342006556564,604.044141404742,39.6108196749161,8.04545556156261,204.980886163498,"No MPA",0.0914443909406336
"4803","Sphoeroides","MT_40",2015,43.3740980900724,9.72652904631038,74.6298629974101,3.42765139576004,0.428702890656718,27.3689838735674,"No MPA",0.111664820077412
"4804","Sphoeroides","MT_40",2016,60.9697565972162,12.8783494231419,95.6638297589475,4.65620727811603,0.54450490716037,33.5278464688483,"No MPA",0.107349950388519
"4805","Sphoeroides","MT_40",2017,84.9577983898067,17.0254526316003,122.972426156387,6.3033832544746,0.691500349106039,41.3843125762458,"No MPA",0.103385409525522
"4806","Sphoeroides","MT_40",2018,116.811900936018,22.4482313142961,157.879930916619,8.47949646285985,0.87742959648728,51.3139218410084,"No MPA",0.0998083357098531
"4807","Sphoeroides","MT_40",2019,157.551955014727,29.4773211929948,201.475690782347,11.2915113061073,1.11137378369248,63.6859616446781,"No MPA",0.0966640489164895
"4808","Sphoeroides","MT_40",2020,207.012538546939,38.479947827024,254.159556033524,14.8101347607527,1.40354511943873,78.7792935863739,"No MPA",0.0940015930577846
"4809","Sphoeroides","MT_40",2021,263.018938894208,49.8259611880416,315.053779542151,19.0170786167273,1.76468641073863,96.6483040621651,"No MPA",0.091864380535652
"4810","Sphoeroides","MT_40",2022,321.037385407399,63.8246753601356,381.500988041757,23.7442564484509,2.20486303545423,116.953426768328,"No MPA",0.0902758430563106
"4811","Sphoeroides","MT_40",2023,375.04832374308,80.6277618378102,449.05566989782,28.6441966173121,2.731430569886,138.819083404993,"No MPA",0.089223865877684
"4812","Sphoeroides","MT_40",2024,419.71613203642,100.106826490554,512.339270188779,33.2489907319489,3.34609662644249,160.837006755307,"No MPA",0.0886525512235738
"4813","Sphoeroides","MT_40",2025,452.525187535505,121.739084088313,566.627507650471,37.1321984828582,4.04138300162677,181.326691411667,"No MPA",0.088469791005403
"4814","Sphoeroides","MT_40",2026,474.188773455307,144.56273821592,609.327440472478,40.0799457745815,4.79749223324853,198.820512883571,"No MPA",0.0885695357486302
"4815","Sphoeroides","MT_40",2027,487.29881119899,167.270107369518,640.40468867096,42.1344655962164,5.58137648422195,212.521997462079,"No MPA",0.0888558902168687
"4816","Sphoeroides","MT_40",2028,494.696203801848,188.459587833271,661.653606527574,43.4945361293563,6.3499892631573,222.442605404566,"No MPA",0.089256396957626
"4817","Sphoeroides","MT_40",2029,498.606978643087,206.969894161719,675.545596440135,44.385570799348,7.05832448273214,229.173676010091,"No MPA",0.0897228853955927
"4818","Sphoeroides","MT_40",2030,500.503143805363,222.142323122847,684.379011317628,44.9872720372738,7.66990237430327,233.520592170728,"No MPA",0.0902259173341346
"4819","Sphoeroides","MT_40",2031,501.271529850548,233.886379947813,689.925507442886,45.4198587395096,8.16491964417152,236.230606221021,"No MPA",0.0907483984899254
"4820","Sphoeroides","MT_40",2032,501.419768750985,242.550537212334,693.411694764102,45.7564075325198,8.54212171009134,237.879256300814,"No MPA",0.0912806828390232
"4821","Sphoeroides","MT_40",2033,501.230515896982,248.706738442289,695.634106482402,46.0390617422383,8.81442945579689,238.86477653039,"No MPA",0.0918174045210057
"4822","Sphoeroides","MT_40",2034,500.8588857755,252.962310813059,697.09045960923,46.2914415716714,9.00181422331043,239.445588762828,"No MPA",0.0923555930923921
"4823","Sphoeroides","MT_40",2035,500.389382197637,255.849696202036,698.08466744239,46.5265851000274,9.12511848653924,239.783021834269,"No MPA",0.0928936002163331
"4824","Sphoeroides","MT_60",2015,49.0587150645822,9.90242967735414,80.3315977504299,3.91718646522559,0.444692659252177,34.4539152466863,"No MPA",0.113043203304581
"4825","Sphoeroides","MT_60",2016,69.0918628593194,13.1318611335999,99.3268373982698,5.3312554052485,0.565472191265976,40.5479314330935,"No MPA",0.108670913990109
"4826","Sphoeroides","MT_60",2017,96.4522155146328,17.3933838409103,123.672153077815,7.23068367390135,0.719114459894424,48.2478185841233,"No MPA",0.104653187432853
"4827","Sphoeroides","MT_60",2018,132.840696960506,22.9856927906138,154.527300349455,9.74436659580813,0.91395671117245,57.8877034540247,"No MPA",0.101027918786685
"4828","Sphoeroides","MT_60",2019,179.431121730539,30.2666983857708,192.993537988699,12.9973193333437,1.1598979971908,69.8152067160665,"No MPA",0.0978413967310628
"4829","Sphoeroides","MT_60",2020,236.01544221912,39.6435089585621,239.840113123476,17.0717404199251,1.46826442688291,84.3378897204802,"No MPA",0.0951436977892976
"4830","Sphoeroides","MT_60",2021,300.042945093486,51.5424088669719,295.102902747381,21.9444774265853,1.85129391683519,101.633350308386,"No MPA",0.0929789899349543
"4831","Sphoeroides","MT_60",2022,366.225957419795,66.3484119620807,357.62753964718,27.4151226790508,2.32100373937692,121.62296865737,"No MPA",0.0913706625246895
"4832","Sphoeroides","MT_60",2023,427.593540838226,84.306367957494,424.755305592087,33.0721412107846,2.88717582050504,143.833257766908,"No MPA",0.090305289782818
"4833","Sphoeroides","MT_60",2024,478.052428575068,105.387083438589,492.447271363594,38.3655838204524,3.55428619447704,167.306923039273,"No MPA",0.0897244232109847
"4834","Sphoeroides","MT_60",2025,514.84792024637,129.146672717807,556.050087087194,42.8014501868668,4.31754794246073,190.655581790466,"No MPA",0.0895329625548503
"4835","Sphoeroides","MT_60",2026,538.950740612879,154.641084936484,611.529536244096,46.1419820742549,5.15894370997024,212.317839330388,"No MPA",0.0896225472799318
"4836","Sphoeroides","MT_60",2027,553.420482203752,180.477530733843,656.564450340028,48.4496430922838,6.04508033194387,230.966686128395,"No MPA",0.0898962362259456
"4837","Sphoeroides","MT_60",2028,561.522464085929,205.052035707102,690.887480228608,49.9636691842347,6.92926373319556,245.868038458838,"No MPA",0.090281568519612
"4838","Sphoeroides","MT_60",2029,565.773544294688,226.921754528024,715.798256757865,50.9474174597461,7.75923767510873,256.986819011671,"No MPA",0.0907308624645687
"4839","Sphoeroides","MT_60",2030,567.817574822883,245.150675602284,733.314176895702,51.607174646701,8.48899827067955,264.814980892273,"No MPA",0.091215248869645
"4840","Sphoeroides","MT_60",2031,568.635136395518,259.458305892908,745.465445386827,52.0791513173569,9.08966368689315,270.078759070026,"No MPA",0.0917181038885626
"4841","Sphoeroides","MT_60",2032,568.782873351469,270.125795587042,753.931108754411,52.4452861488498,9.55399957049573,273.497655394507,"No MPA",0.0922301187388658
